date,open,close,high,low,volume
2015-06-09,162.118,156.691,166.482,154.391,77851.0
2015-06-10,153.609,158.528,163.828,151.937,80462.0
2015-06-11,157.573,157.628,161.664,155.546,52954.0
2015-06-12,159.5,163.028,169.391,158.482,90909.0
2015-06-15,163.918,158.382,168.482,157.646,100014.0
2015-06-16,156.664,152.073,162.846,150.755,69303.0
2015-06-17,152.082,153.109,155.537,147.573,58388.0
2015-06-18,151.228,143.0,152.846,139.937,61506.0
2015-06-19,144.728,135.128,147.109,133.955,67608.0
2015-06-23,139.209,150.528,153.8,134.055,81247.0
2015-06-24,148.482,158.673,162.3,146.346,95706.0
2015-06-25,158.937,150.109,159.419,148.673,66521.0
2015-06-26,148.5,141.619,153.709,135.119,99332.0
2015-06-29,147.0,145.428,154.391,128.3,165071.0
2015-06-30,145.428,155.437,157.409,144.846,126298.0
2015-07-01,153.028,155.291,165.3,149.373,103326.0
2015-07-02,153.3,157.846,178.118,143.946,118459.0
2015-07-03,153.028,148.309,158.028,141.391,109605.0
2015-07-06,164.8,152.155,164.837,138.937,272799.0
2015-07-07,148.482,143.191,154.464,138.937,167562.0
2015-07-08,129.391,136.537,143.928,120.991,289140.0
2015-07-09,136.537,155.7,157.946,133.028,138203.0
2015-07-10,154.846,162.655,178.482,150.264,256149.0
2015-07-13,155.755,155.528,162.646,149.391,148926.0
2015-07-14,153.028,147.619,153.191,145.937,96768.0
2015-07-15,146.209,149.628,150.937,142.373,104077.0
2015-07-16,149.628,149.928,152.282,146.9,72814.0
2015-07-17,154.186,153.476,155.176,149.926,56418.0
2015-07-20,152.336,150.296,153.086,147.686,67933.0
2015-07-21,146.936,146.846,149.386,145.186,51789.0
2015-07-22,145.186,142.316,147.186,141.766,70855.0
2015-07-23,143.176,144.726,145.786,140.956,64748.0
2015-07-24,145.686,144.396,148.876,143.936,57390.0
2015-07-27,142.186,126.706,146.486,126.186,76944.0
2015-07-28,125.046,131.016,134.626,122.666,86703.0
2015-07-29,132.966,132.926,135.186,127.316,66507.0
2015-07-30,134.016,131.146,134.016,130.286,41134.0
2015-07-31,131.886,132.016,132.116,128.186,40736.0
2015-08-03,130.186,134.746,135.176,128.186,54553.0
2015-08-04,134.446,137.156,139.166,134.446,59533.0
2015-08-05,138.116,132.376,139.036,132.126,43143.0
2015-08-06,131.416,130.146,132.686,128.186,39249.0
2015-08-07,132.676,132.116,133.786,130.786,39521.0
2015-08-10,132.196,137.486,138.186,130.316,56496.0
2015-08-11,137.486,135.936,137.596,135.196,50897.0
2015-08-12,135.176,134.656,139.476,133.936,45824.0
2015-08-13,136.686,134.696,136.686,131.186,35180.0
2015-08-14,135.686,135.166,136.586,134.436,30666.0
2015-08-17,133.206,131.406,134.006,129.186,53858.0
2015-08-18,132.166,126.246,132.686,125.536,51285.0
2015-08-19,124.936,126.806,127.346,123.366,50261.0
2015-08-20,126.016,120.256,126.186,120.086,39645.0
2015-08-21,116.706,111.516,120.046,111.306,75620.0
2015-08-24,106.186,94.826,106.686,93.386,89812.0
2015-08-25,92.646,101.776,107.696,91.386,123080.0
2015-08-26,101.946,109.066,113.686,100.186,91572.0
2015-08-27,115.186,122.256,125.086,110.076,87052.0
2015-08-28,120.186,117.836,120.476,112.316,89925.0
2015-08-31,114.526,120.556,120.686,110.366,62730.0
2015-09-01,117.006,119.556,120.186,113.186,87432.0
2015-09-02,115.296,119.796,120.186,114.386,106945.0
2015-09-07,117.786,113.896,119.186,113.836,32216.0
2015-09-08,113.646,114.506,115.656,110.186,33098.0
2015-09-09,115.326,117.046,119.056,115.326,35215.0
2015-09-10,115.566,118.396,118.486,114.326,26852.0
2015-09-11,117.066,118.096,119.286,116.236,16932.0
2015-09-14,117.616,127.716,127.986,113.086,86175.0
2015-09-15,123.196,127.186,127.206,120.306,51884.0
2015-09-16,125.196,129.736,134.726,122.916,37198.0
2015-09-17,127.786,123.186,130.986,122.796,26423.0
2015-09-18,123.786,124.616,126.076,123.186,15642.0
2015-09-21,123.196,124.486,125.886,123.186,16527.0
2015-09-22,125.956,124.456,126.366,124.166,16457.0
2015-09-23,122.336,119.906,124.176,119.286,22344.0
2015-09-24,120.986,119.186,121.466,117.986,13886.0
2015-09-25,119.176,118.646,120.086,114.686,24455.0
2015-09-28,116.666,116.566,117.486,114.416,12341.0
2015-09-29,114.736,115.356,116.556,113.486,18409.0
2015-09-30,115.416,115.496,116.666,115.356,11634.0
2015-10-08,123.966,122.706,126.766,122.186,34391.0
2015-10-09,123.966,122.136,124.086,121.686,15721.0
2015-10-12,124.186,123.276,129.676,123.036,49030.0
2015-10-13,123.276,123.926,125.276,123.276,15751.0
2015-10-14,124.166,123.016,124.686,122.196,15213.0
2015-10-15,123.346,125.176,125.556,122.746,16550.0
2015-10-16,126.406,125.926,127.586,124.596,19238.0
2015-10-19,130.126,127.906,130.126,127.086,26121.0
2015-10-20,127.206,127.156,128.066,126.366,14784.0
2015-10-21,127.266,125.496,127.736,122.196,22349.0
2015-10-22,125.426,127.716,127.916,124.616,23720.0
2015-10-23,130.986,136.166,142.786,130.736,56277.0
2015-10-26,137.186,142.916,143.486,133.186,43346.0
2015-10-27,142.286,140.436,142.866,137.766,22572.0
2015-10-28,140.176,137.626,140.176,137.086,16559.0
2015-10-29,137.186,138.186,139.976,137.186,13454.0
2015-10-30,138.136,139.046,140.986,137.306,12257.0
2015-11-02,139.786,137.746,141.046,137.686,15298.0
2015-11-03,138.106,134.896,140.946,133.586,23173.0
2015-11-04,135.766,140.166,141.186,135.296,30809.0
2015-11-05,139.786,141.746,148.466,138.686,49982.0
2015-11-06,142.536,143.606,143.786,140.746,21695.0
2015-11-09,147.186,146.016,149.846,144.186,40527.0
2015-11-10,145.186,147.566,149.306,144.346,28729.0
2015-11-11,147.196,145.336,148.186,143.786,23815.0
2015-11-12,145.416,145.196,148.186,144.566,16180.0
2015-11-13,143.286,140.296,144.686,140.016,28397.0
2015-11-16,137.686,138.966,141.686,137.186,23916.0
2015-11-17,139.906,139.546,142.686,138.326,21986.0
2015-11-18,138.776,139.846,141.186,138.776,19725.0
2015-11-19,139.186,140.216,141.186,139.086,15262.0
2015-11-20,140.326,138.906,140.966,138.286,22274.0
2015-11-23,138.186,137.806,139.026,137.696,20994.0
2015-11-24,137.576,136.876,138.466,135.186,20469.0
2015-11-25,136.886,138.166,138.186,135.586,24249.0
2015-11-26,138.676,138.026,138.976,137.016,18804.0
2015-11-27,137.676,132.926,137.726,131.816,16220.0
2015-11-30,133.226,139.496,139.966,132.976,33440.0
2015-12-01,138.186,138.986,139.136,136.186,18877.0
2015-12-02,139.666,146.766,152.186,137.186,47891.0
2015-12-03,144.186,145.386,146.586,141.886,22386.0
2015-12-04,145.146,140.496,145.146,140.196,20848.0
2015-12-07,140.186,139.696,142.166,138.386,19255.0
2015-12-08,139.736,137.126,139.736,136.646,17393.0
2015-12-09,136.766,139.656,140.236,136.686,14119.0
2015-12-10,140.186,138.146,141.386,137.176,13786.0
2015-12-11,137.686,136.596,137.686,135.686,13035.0
2015-12-14,135.376,139.286,140.066,134.186,20701.0
2015-12-15,138.986,139.696,139.776,137.266,15088.0
2015-12-16,139.596,139.096,139.826,137.776,20144.0
2015-12-17,139.576,141.046,142.066,139.186,24253.0
2015-12-18,140.686,142.066,144.336,140.296,28460.0
2015-12-21,143.186,152.216,154.366,143.186,59391.0
2015-12-22,151.986,150.216,151.986,148.466,28402.0
2015-12-23,150.636,148.186,151.876,147.886,22374.0
2015-12-24,149.166,149.966,150.866,148.386,15577.0
2015-12-25,150.186,149.686,150.846,148.066,11542.0
2015-12-28,150.666,144.306,151.186,144.186,25594.0
2015-12-29,143.806,145.016,145.626,143.696,15774.0
2015-12-30,145.366,144.046,145.846,142.706,20147.0
2015-12-31,143.406,143.376,144.686,143.006,19673.0
2016-01-04,143.186,135.206,143.186,135.176,17349.0
2016-01-05,135.186,138.006,139.156,132.696,31908.0
2016-01-06,137.966,137.366,138.846,134.486,23760.0
2016-01-07,134.176,127.416,134.176,125.216,8148.0
2016-01-08,129.356,129.816,133.186,125.186,44510.0
2016-01-11,128.346,125.046,128.976,124.586,29702.0
2016-01-12,126.286,121.976,127.286,121.186,40287.0
2016-01-13,124.286,124.966,131.186,123.786,29201.0
2016-01-14,122.296,130.006,131.166,120.696,34776.0
2016-01-15,129.936,124.186,131.366,123.186,26681.0
2016-01-18,123.186,124.616,127.586,122.386,27371.0
2016-01-19,126.186,135.426,135.516,125.196,59110.0
2016-01-20,132.186,127.506,135.346,126.196,40968.0
2016-01-21,126.446,125.446,129.776,125.086,21832.0
2016-01-22,128.296,127.926,128.586,123.996,22733.0
2016-01-25,128.186,127.956,128.676,126.686,13750.0
2016-01-26,126.176,124.196,129.656,123.686,22280.0
2016-01-27,125.166,125.116,126.076,120.886,29840.0
2016-01-28,124.936,121.826,124.936,120.806,17903.0
2016-01-29,122.666,125.836,127.686,122.186,23090.0
2016-02-01,127.286,126.476,127.986,125.076,19178.0
2016-02-02,127.186,129.736,129.986,125.826,17842.0
2016-02-03,127.766,128.846,129.746,126.686,15156.0
2016-02-04,129.986,130.176,131.066,128.726,16624.0
2016-02-05,130.176,129.056,130.366,127.716,14227.0
2016-02-15,125.186,125.596,128.186,124.786,19470.0
2016-02-16,125.746,129.106,133.186,125.746,19223.0
2016-02-17,128.926,127.486,130.106,125.696,20349.0
2016-02-18,128.386,126.896,128.786,126.286,18892.0
2016-02-19,126.806,128.296,128.366,126.316,14238.0
2016-02-22,131.186,132.986,133.506,131.186,27759.0
2016-02-23,132.956,137.596,140.166,132.206,37460.0
2016-02-24,137.386,142.926,143.216,136.196,33129.0
2016-02-25,143.986,137.596,145.666,137.316,39480.0
2016-02-26,138.286,142.026,144.436,136.446,28332.0
2016-02-29,144.176,140.096,146.066,131.986,47712.0
2016-03-01,141.146,143.606,145.486,135.586,34004.0
2016-03-02,144.186,149.406,150.686,143.856,47942.0
2016-03-03,150.186,152.996,157.166,146.846,40193.0
2016-03-04,152.066,163.966,165.346,150.196,85838.0
2016-03-07,163.296,158.826,165.186,156.236,39345.0
2016-03-08,158.486,154.396,158.486,152.186,26147.0
2016-03-09,152.186,152.626,157.836,151.286,16402.0
2016-03-10,154.176,153.246,158.886,153.186,25727.0
2016-03-11,151.726,153.236,157.066,150.686,16320.0
2016-03-14,155.946,149.756,158.686,147.386,45277.0
2016-03-15,149.986,157.106,159.576,149.526,36356.0
2016-03-16,155.406,153.796,157.686,150.186,24250.0
2016-03-17,155.186,154.746,159.286,153.486,28820.0
2016-03-18,157.186,151.186,157.446,150.966,70568.0
2016-03-21,151.846,157.166,157.206,151.836,38547.0
2016-03-22,157.446,159.676,163.366,156.686,41766.0
2016-03-23,160.386,160.156,162.186,157.866,21412.0
2016-03-24,160.186,167.846,170.586,156.486,62068.0
2016-03-25,167.686,170.166,174.976,166.206,44756.0
2016-03-28,170.166,174.766,178.566,170.166,48337.0
2016-03-29,174.786,173.296,176.186,169.626,36688.0
2016-03-30,174.186,173.846,175.586,170.666,27782.0
2016-03-31,175.026,172.826,175.486,172.176,19457.0
2016-04-01,174.136,170.276,175.676,169.726,25146.0
2016-04-05,168.186,170.706,172.686,168.186,25047.0
2016-04-06,170.986,182.396,182.786,170.986,48424.0
2016-04-07,182.076,179.296,182.666,177.806,25536.0
2016-04-08,177.186,175.046,181.076,173.386,23156.0
2016-04-11,175.686,168.906,180.366,168.686,119284.0
2016-04-12,168.886,170.106,170.186,167.286,23339.0
2016-04-13,170.586,167.426,173.816,166.886,54274.0
2016-04-14,167.566,167.946,170.016,166.186,28664.0
2016-04-15,167.826,170.086,170.166,166.386,19029.0
2016-04-18,167.986,168.866,171.186,167.686,18593.0
2016-04-19,169.776,168.366,170.376,166.636,14236.0
2016-04-20,168.376,163.626,169.586,160.986,33708.0
2016-04-21,165.686,165.556,167.486,163.486,29672.0
2016-04-22,166.186,172.586,173.066,165.556,35459.0
2016-04-25,172.306,169.706,173.286,168.486,24990.0
2016-04-26,170.136,169.046,172.066,168.186,15156.0
2016-04-27,169.686,170.066,170.666,168.676,13915.0
2016-04-28,171.016,171.626,171.926,169.186,17156.0
2016-04-29,172.576,176.386,177.616,172.576,46079.0
2016-05-03,175.736,185.186,187.466,175.736,56474.0
2016-05-04,185.186,181.396,187.576,181.176,28636.0
2016-05-05,181.686,182.956,183.336,180.686,13517.0
2016-05-06,182.496,177.406,183.706,176.306,27173.0
2016-05-09,175.316,176.006,177.986,174.196,27799.0
2016-05-10,174.686,177.266,179.186,174.296,33505.0
2016-05-11,177.536,182.056,185.666,177.536,49277.0
2016-05-12,179.206,181.146,181.746,177.186,18894.0
2016-05-13,181.166,176.146,184.086,175.686,28145.0
2016-05-16,176.046,176.816,176.986,172.486,22202.0
2016-05-17,176.196,175.216,177.586,175.016,11785.0
2016-05-18,174.266,169.626,177.036,168.286,28380.0
2016-05-19,170.346,170.956,173.686,169.686,20889.0
2016-05-20,172.026,176.446,177.366,169.506,25501.0
2016-05-23,174.906,179.386,180.176,174.906,18706.0
2016-05-24,179.596,177.126,180.396,175.286,11674.0
2016-05-25,179.666,177.046,180.126,176.196,17785.0
2016-05-26,177.176,177.896,178.986,174.386,18120.0
2016-05-27,177.906,177.626,179.876,176.566,13230.0
2016-05-30,176.686,181.316,181.686,175.186,29806.0
2016-05-31,181.186,189.656,191.806,180.386,53949.0
2016-06-01,190.586,188.976,190.686,188.186,21876.0
2016-06-02,188.196,192.926,193.866,188.196,24760.0
2016-06-03,192.186,209.076,211.926,191.586,64798.0
2016-06-06,207.186,201.236,208.186,200.186,37261.0
2016-06-07,201.686,203.036,203.676,200.196,18753.0
2016-06-08,201.586,199.466,203.046,198.686,23882.0
2016-06-13,198.536,192.246,201.846,191.436,37775.0
2016-06-14,192.896,197.936,198.986,192.896,25587.0
2016-06-15,195.896,201.676,202.986,195.396,27322.0
2016-06-16,200.046,199.206,202.986,198.966,19643.0
2016-06-17,198.786,203.446,207.676,198.786,24705.0
2016-06-20,204.956,201.296,205.046,199.186,19019.0
2016-06-21,202.226,198.996,203.126,198.186,16749.0
2016-06-22,198.956,203.626,204.546,197.956,20884.0
2016-06-23,205.156,201.626,205.156,200.066,13984.0
2016-06-24,200.466,198.956,202.186,192.386,20129.0
2016-06-27,200.186,212.866,217.486,200.186,63642.0
2016-06-28,212.206,213.396,214.846,211.506,24282.0
2016-06-29,212.736,213.366,214.636,209.386,28147.0
2016-06-30,215.206,217.106,223.386,215.206,38022.0
2016-07-01,218.557,217.527,223.237,215.357,26014.0
2016-07-04,218.357,225.257,226.757,217.357,29488.0
